location_start_year,num_businesses,num_sole_prop,num_missing_naics,num_missing_pa,num_missing_ma,num_ended
1849,1,0,1,1,1,0
1870,1,1,1,1,1,0
1879,1,0,0,0,0,0
1891,2,0,2,2,2,1
1895,2,0,2,2,2,0
1896,2,0,2,2,2,0
1897,1,0,1,1,1,0
1899,1,0,0,0,0,0
1900,1,0,1,1,1,0
1904,2,0,2,2,2,0
1906,1,0,1,1,1,0
1909,1,0,0,0,0,0
1910,1,0,1,1,1,0
1913,1,0,1,1,1,0
1916,1,0,0,0,0,0
1920,1,0,1,1,1,0
1921,2,0,0,0,0,0
1923,1,0,1,1,1,0
1924,1,0,1,1,1,0
1927,2,0,2,2,2,0
1929,1,0,1,1,1,0
1930,1,0,1,1,1,0
1932,2,0,1,1,1,0
1936,1,0,1,1,1,0
1937,1,1,1,1,1,0
1940,2,0,1,1,1,1
1941,5,0,3,3,3,1
1942,1,0,1,1,1,0
1943,1,0,1,1,1,0
1945,6,0,4,4,4,1
1946,7,0,5,5,5,1
1947,8,0,5,5,5,4
1948,4,2,1,1,1,2
1949,12,0,10,10,10,2
1950,5,0,4,4,4,1
1951,3,0,2,2,2,0
1952,6,0,4,4,4,0
1953,8,1,5,5,5,2
1954,12,1,7,7,7,4
1955,9,1,5,5,5,3
1956,6,0,3,3,3,4
1957,9,2,5,5,5,2
1958,8,0,4,4,4,1
1959,6,1,3,3,3,2
1960,3,2,3,3,3,2
1961,5,1,4,4,4,1
1962,8,0,5,5,5,3
1963,6,1,3,3,3,1
1964,11,2,8,8,8,3
1965,16,4,9,9,9,5
1966,19,0,11,11,11,8
1967,20,3,11,11,11,5
1968,2380,108,659,659,659,963
1969,288,18,87,87,87,122
1970,268,18,76,76,76,83
1971,291,21,75,75,75,103
1972,306,22,82,82,82,121
1973,298,16,96,96,96,127
1974,302,32,66,66,66,116
1975,350,25,92,92,92,130
1976,431,37,108,108,108,160
1977,352,40,100,100,100,132
1978,353,43,98,98,98,144
1979,294,37,84,84,84,116
1980,261,46,74,74,74,114
1981,272,44,81,81,81,119
1982,250,51,79,79,79,110
1983,275,34,87,87,87,126
1984,367,53,106,106,106,161
1985,376,59,147,147,147,181
1986,475,70,154,154,154,198
1987,705,80,207,207,207,305
1988,958,122,306,306,306,387
1989,1245,192,373,373,373,510
1990,611,106,196,196,196,272
1991,687,126,286,286,286,304
1992,741,155,256,256,256,313
1993,1003,178,347,347,347,540
1994,1064,213,420,420,420,483
1995,1289,335,484,484,484,556
1996,1537,368,590,590,590,705
1997,1714,413,665,665,665,793
1998,1958,455,739,739,739,912
1999,2329,523,858,858,858,1067
2000,2614,559,1056,1056,1056,1226
2001,2504,546,1026,1026,1026,1194
2002,3165,719,1271,1271,1271,1587
2003,3567,866,1573,1573,1573,1811
2004,4464,1223,2036,2036,2036,2200
2005,5010,1260,2391,2391,2391,2728
2006,5984,1597,3082,3082,3082,3491
2007,11805,4513,5862,5862,5862,7849
2008,7345,1889,3763,3763,3763,4477
2009,8433,2159,4306,4306,4306,5167
2010,10292,2664,5380,5380,5380,6410
2011,13376,3501,7192,7192,7192,8724
2012,15418,3905,8203,8203,8203,10203
2013,17430,4710,9144,9144,9144,11499
2014,20777,4640,8224,8224,8224,11731
2015,20199,5314,6861,6861,6861,11273
2016,21943,6241,4905,4905,4905,11017
2017,18543,5354,3493,3493,3493,7234
2018,18579,4990,3541,3541,3541,5416
2019,17283,4430,3205,3205,3205,2787
2020,4342,1258,854,854,854,282
